#|season|week|title|OT A|PS A|NT A|GS A|OT B|PS B|NT B|GS B|OT C|PS C|NT C|GS C|
advent|1|The First Sunday in Advent|Isaiah 2:1-5|Ps 122|Rom 13:8-14|Mt 24:29-44|Isaiah 64:1-9a|Ps 80 or Ps 80:1-7|1 Cor 1:1-9|Mk 13:24-37|Zech 14:(1-2)3-9|Ps 50 or Ps 50:1-6|1 Thess 3:6-13|Lk 21:25-33
advent|2|The Second Sunday in Advent|Isaiah 11:1-10|Ps 72:1-15(16-19)|Rom 15:1-13|Mt 3:1-12|Isaiah 40:1-11|Ps 85|2 Pet 3:8-18|Mk 1:1-8|Mal 3:1-5|Ps 126|1 Cor 4:(1-7)8-21|Lk 3:1-6
advent|3|The Third Sunday in Advent|Isaiah 35:1-10|Psalm 146|James 5:7-12|Mt 11:2-19|Isaiah 65:17-25|Ps 126|1 Thess 5:12-28|Jn 3:22-30|Zeph 3:14-20|Ps 85|Phil 4:4-9|Lk 3:7-20
advent|4|The Fourth Sunday in Advent|Isaiah 7:10-17|Ps 24|Rom 1:1-7|Mt 1:18-25|2 Sam 7:1-17|Ps 132:(1-7) 8-19|Rom 16:25-27|Lk 1:26-38|Mic 5:2-5a|Ps 80:1-7|Heb 10:1-10|Lk 1:39-56
christmasDay|1|Christmas Day I|Isaiah 9:1-7|Ps 96|Titus 2:11-14|Lk 2:1-14(15-20)|Isaiah 9:1-7|Ps 96|Titus 2:11-14|Lk 2:1-14(15-20)|Isaiah 9:1-7|Ps 96|Titus 2:11-14|Lk 2:1-14(15-20)
christmasDay|2|Christmas Day II|Isaiah 62:6-12|Ps 97|Titus 3:4-7|Lk 2:(1-14)15-20|Isaiah 62:6-12|Ps 97|Titus 3:4-7|Lk 2:(1-14)15-20|Isaiah 62:6-12|Ps 97|Titus 3:4-7|Lk 2:(1-14)15-20
christmasDay|3|Christmas Day III|Isaiah 52:7-12|Ps 98|Heb 1:1-12|Jn 1-18|Isaiah 52:7-12|Ps 98|Heb 1:1-12|Jn 1:1-18|Isaiah 52:7-12|Ps 98|Heb 1:1-12|Jn 1:1-18
christmas|1|The First Sunday of Christmas|Isaiah 61:10-62:5|Ps 147:13-21|Gal 3:23-4:7|Jn 1:1-18|Isaiah 61:10-62:5|Ps 147:13-21|Gal 3:23-4:7|Jn 1:1-18|Isaiah 61:10-62:5|Ps 147:13-21|Gal 3:23-4:7|Jn 1:1-18
holyName|1|Holy Name (January 1)|Ex 34:1-9|Ps 8|Rom 1:1-7|Lk 2:15-21|Ex 34:1-9|Ps 8|Rom 1:1-7|Lk 2:15-21|Ex 34:1-9|Ps 8|Rom 1:1-7|Lk 2:15-21
christmas|2|The Second Sunday of Christmas|Jer 31:7-14|Ps 84|Eph 1:3-14|Lk 2:41-52 or Mt 2:1-12|Jer 31:7-14|Ps 84|Eph 1:3-14|Mt 2:13-23 or Mt 2:1-12|Jer 31:7-14|Ps 84|Eph 1:3-14|Lk 2:22-40 or Mt 2:1-12
theEpiphany|1|The Epiphany (January 6)|Isaiah 60:1-9|Ps 72 or Ps 72:1-15|Eph 3:1-13|Mt 2:1-12|Isaiah 60:1-9|Ps 72 or Ps 72:1-11|Eph 3:1-13|Mt 2:1-12|Isaiah 60:1-9|Ps 72 or Ps 72:1-11|Eph 3:1-13|Mt 2:1-12
epiphany|1|The First Sunday of Epiphany [Baptism of our Lord]|Isaiah 42:1-9|Ps 89:1-29 or 89:20-29|Acts 10:34-38|Mt 3:13-17|Isaiah 42:1-9|Ps 89:1-29 or 89:20-29|Acts 10:34-38|Mk 1:7-11|Isaiah 42:1-9|Ps 89:1-29 or 89:20-29|Acts 10:34-38|Lk 3:15-22
epiphany|2|The Second Sunday of Epiphany|Isaiah 49:1-7|Ps 40:1-10|1 Cor 1:1-9|Jn 1:29-42|1 Sam 3:1-20|Ps 63:1-8(9-11)|1 Cor 6:9-20|Jn 1:43-51|Isaiah 62:1-5|Ps 96|1 Cor 12:1-11|Jn 2:1-11
epiphany|3|The Third Sunday of Epiphany|Amos 3:1-11|Ps 139:1-16|1 Cor 1:10-17|Mt 4:12-22|Jer 3:19-4:4|Ps 130|1 Cor 7:17-24|Mk 1:14-20|Neh 8:1-12|Ps 113|1 Cor 12:12-27|Lk 4:14-21
epiphany|4|The Fourth Sunday of Epiphany|Mic 6:1-8|Ps 37:1-11|1 Cor 1:18-31|Mt 5:1-12|Deut 18:15-22|Ps 111|1 Cor 8:1-13|Mk 1:21-28|Jer 1:4-10|Ps 71:12-21|1 Cor 14:12-25|Lk 4:21-32
presentation|1|The Presentation of Christ in the Temple (February 2)|Mal 3:1-4|Ps 84|Heb 2:14-18|Lk 2:22-40|Mal 3:1-4|Ps 84|Heb 2:14-18|Lk 2:22-40|Mal 3:1-4|Ps 84|Heb 2:14-18|Lk 2:22-40
epiphany|5|The Fifth Sunday of Epiphany |Hab. 3:(1), 2-15, (16-19).|Ps 27|1 Cor 2:1-16|Mt 5:13-20|2 Kings 4:8-21(22-31)32-37|Ps 142|1 Cor 9:16-23|Mk 1:29-39|Judg 6:11-24|Ps 85|1 Cor 15:1-11|Lk 5:1-11 
epiphany|6|The Sixth Sunday of Epiphany|Ecclesiasticus 15:11-20|Ps 119:(1-8)9-16|1 Cor 3:1-9|Mt 5:21-37|2 Kings 5:1-15ab|Ps42:1-7(8-15)|1 Cor 9:24-27|Mk 1:40-45|Jer 17:5-10|Ps 1|1 Cor 15:12-20|Lk 6:17-26
epiphany|7|The Seventh Sunday of Epiphany|Lev 19:1-2,9-18|Ps 71 or Ps 71:12-24|1 Cor 3:10-23|Mt 5:38-48|Isaiah 43:18-25|Ps 32|2 Cor 1:18-22|Mk 2:1-12|Gen 45:3-11,21-28|Ps 37:(1-7)8-17|1 Cor 15:35-49|Lk 6:27-38
epiphany|8|The Second to Last Sunday after Epiphany [World Mission]|Isaiah 49:1-7|Ps 67|Acts 1:1-8|Matthew 9:35-38|Gen 12:1-3|Ps 86:8-13|Rev 7:9-17|Mt 28:16-20|Isaiah 61:1-4|Ps 96|Rom 10:9-17|Jn 20:19-31
epiphany|9|The Last Sunday after Epiphany [Transfiguration]|Ex 24:12-18|Ps 99|Phil 3:7-14|Mt 17:1-9|1 Kings 19:9-18|Ps 27|2 Pet 1:13-21|Mk 9:2-9|Ex 34:29-35|Ps 99|1 Cor 12:27-13:13|Lk 9:28-36
