#| Week of 1 advent
advent|1|1|sunday|Sunday|146, 147|111, 112, 113|Isa. 1:1-9|2 Pet. 3:1-10|Matt. 25:1-13
advent|1|1|monday|Monday|1, 2, 3|4, 7|Isa. 1:10-20|1 Thess. 1:1-10|Luke 20:1-8
advent|1|1|tuesday|Tuesday|5, 6|10, 11|Isa. 1:21-31|1 Thess. 2:1-12|Luke 20:9-18
advent|1|1|wednesday|Wednesday|119:1-24|12, 13, 14|Isa. 2:1-11|1 Thess. 2:13-20|Luke 20:19-26
advent|1|1|thursday|Thursday|18:1-20|18:21-50|Isa. 2:12-22|1 Thess. 3:1-13|Luke 20:27-40
advent|1|1|friday|Friday|16, 17|22|Isa. 3:8-15|1 Thess. 4:1-12|Luke 20:41-21:4
advent|1|1|saturday|Saturday|20, 21:1-7(8-14)|110:1-5(6-7), 116, 117|Isa. 4:2-6|1 Thess. 4:13-18|Luke 21:5-19
#| Week of 2 advent
advent|2|1|sunday|Sunday|148, 149, 150|114, 115|Isa. 5:1-7|2 Pet. 3:11-18|Luke 7:28-35
advent|2|1|monday|Monday|25|9, 15|Isa. 5:8-12, 18-23|1 Thess. 5:1-11|Luke 21:20-28
advent|2|1|tuesday|Tuesday|26, 28|36, 39|Isa. 5:13-17, 24-25|1 Thess. 5:12-28|Luke 21:29-38
advent|2|1|wednesday|Wednesday|38|119:25-48|Isa. 6:1-13|2 Thess. 1:1-12|John 7:53—8:11
advent|2|1|thursday|Thursday|37:1-18|37:19-42|Isa. 7:1-9|2 Thess. 2:1-12|Luke 22:1-13
advent|2|1|friday|Friday|31|35|Isa. 7:10-25|2 Thess. 2:13—3:5|Luke 22:14-30
advent|2|1|saturday|Saturday|30, 32|42, 43|Isa. 8:1-15|2 Thess. 3:6-18|Luke 22:31-38
#| Office
#| Daily Office Year Two 937
#| Week of 1 advent
advent|1|2|sunday|Sunday|146, 147|111, 112, 113|Amos 1:1-5,13—2:8|1 Thess. 5:1-11|Luke 21:5-19
advent|1|2|monday|Monday|1, 2, 3|4, 7|Amos 2:6-16|2 Pet. 1:1-11|Matt. 21:1-11
advent|1|2|tuesday|Tuesday|5, 6|10, 11|Amos 3:1-11|2 Pet. 1:12-21|Matt. 21:12-22
advent|1|2|wednesday|Wednesday|119:1-24|12, 13, 14|Amos 3:12—4:5|2 Pet. 3:1-10|Matt. 21:23-32
advent|1|2|thursday|Thursday|18:1-20|18:21-50|Amos 4:6-13|2 Pet. 3:11-18|Matt. 21:33-46
advent|1|2|friday|Friday|16, 17|22|Amos 5:1-17|Jude 1-16|Matt. 22:1-14
advent|1|2|saturday|Saturday|20, 21:1-7(8-14)|110:1-5(6-7), 116, 117|Amos 5:18-27|Jude 17-25|Matt. 22:15-22
#| Week of 2 advent
advent|2|2|sunday|Sunday|148, 149, 150|114, 115|Amos 6:1-14|1 Thess. 5:1-12|Luke 1:57-68
advent|2|2|monday|Monday|25|9, 15|Amos 7:1-9|Rev. 1:1-8|Matt. 22:23-33
advent|2|2|tuesday|Tuesday|26, 28|36, 39|Amos 7:10-17|Rev. 1:9-16|Matt. 22:34-46
advent|2|2|wednesday|Wednesday|38|119:25-48|Amos 8:1-14|Rev. 1:17—2:7|Matt. 23:1-12
advent|2|2|thursday|Thursday|37:1-18|37:19-42|Amos 9:1-10|Rev. 2:8-17|Matt. 23:13-26
advent|2|2|friday|Friday|31|35|Haggai 1:1-15|Rev. 2:18-29|Matt. 23:27-39
