"Scripture","RCL ","Roman","Episcopal","Lutheran","United Methodist","Row Order"
"Genesis 1:1 - 2:4","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",1
,"Trinity A","Easter Vigil B","Trinity A","Trinity A","Trinity A",2
,"Baptism B","Easter Vigil C","Easter Vigil B","Baptism B","Baptism B",3
,"Easter Vigil B",,"Easter Vigil C ","Easter Vigil B","Easter Vigil B",4
,"Easter Vigil C",,,"Easter Vigil C","Easter Vigil C",5
"Genesis 2:4-14",,"Lent 1A","Lent 1A",,,6
"Genesis 2:15 - 3:21","Lent 1A","Lent 1A","Lent 1A","Lent 1A","Lent 1A",7
,"Proper 5/ Ordinary 10B","Proper 5/ Ordinary 10B","Proper 5/ Ordinary 10B","Proper 5/ Ordinary 10B",,8
,"Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B",,9
"Genesis 6:9-22","Proper 4A",,,,,10
"Genesis 7:1-18","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",11
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",12
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",13
"Genesis 7:24","Proper 4A",,,,,14
"Genesis 8:6-18","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",15
,"Easter Vigil B","Easter Vigil B","Easter 2A","Easter Vigil B","Easter Vigil B",16
,"Easter Vigil C","Easter Vigil C","Easter Vigil B","Easter Vigil C","Easter Vigil C",17
,,,"Easter Vigil C",,,18
"Genesis 8:14-19","Proper 4A",,,,,19
"Genesis 9:8-17","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",20
,"Lent 1B","Lent 1B","Easter 2A","Lent 1B","Lent 1B",21
,"Easter Vigil B","Easter Vigil B","Lent 1B","Easter Vigil B","Easter Vigil B",22
,"Easter Vigil C","Easter Vigil C","Easter Vigil B","Easter Vigil C","Easter Vigil C",23
,,,"Easter Vigil C",,,24
"Genesis 11:1-9","Pentecost C",,,"Pentecost C",,25
"Genesis 12:1-9","Lent 2A","Lent 2A","Lent 2A","Lent 2A","Lent 2A",26
,"Proper 5A/ Ordinary 10A",,,,"Proper 5A/ Ordinary 10A",27
"Genesis 15:1-18","Lent 2C","Lent 2C","Lent 2C","Lent 2C","Lent 2C",28
,"Proper 14C/ Ordinary 19C",,"Proper 14C/ Ordinary 19C","Proper 14C/ Ordinary 19C",,29
"Genesis 17:1-16","Lent 2B",,,"Lent 2B","Lent 2B",30
"Genesis 18:1-15","Proper 6A / Ordinary 11A","Proper 11C/ Ordinary 16C","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A",31
,"Proper 11C/ Ordinary 16C",,"Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C",,32
"Genesis 18:20-33","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C",,33
"Genesis 21:1-7",,,,,,34
"Genesis 21:8-21","Proper 7A/ Ordinary 12A",,,,"Proper 7A/ Ordinary 12A",35
"Genesis 22:1-18","Easter Vigil A","Easter Vigil A","Good Friday A","Easter Vigil A","Easter Vigil A",36
,"Proper 8A/ Ordinary 13A","Lent 2B","Easter Vigil A","Easter Vigil B","Proper 8A/ Ordinary 13A",37
,"Easter Vigil B","Easter Vigil B","Lent 2B","Easter Vigil C","Easter Vigil B",38
,"Easter Vigil C","Easter Vigil C","Good Friday B",,"Easter Vigil C",39
,,,"Easter Vigil B",,,40
,,,"Good Friday C",,,41
,,,"Easter Vigil C",,,42
"Genesis 24:34-67","Proper 9A/ Ordinary 14A",,,,"Proper 9A/ Ordinary 14A",43
"Genesis 25:19-34","Proper 10A/ Ordinary 15A",,,,"Proper 10A/ Ordinary 15A",44
"Genesis 28:10-19","Proper 11A/ Ordinary 16A",,,,"Proper 11A/ Ordinary 16A",45
"Genesis 29:15-28","Proper 12A/ Ordinary 17/A",,,,"Proper 12A/ Ordinary 17/A",46
"Genesis 32:3-31","Proper 13A/ Ordinary 18A",,,,"Proper 13A/ Ordinary 18A",47
"Genesis 37:1-28","Proper 14A/ Ordinary 19A",,,,"Proper 14A/ Ordinary 19A",48
"Genesis 45:1-28","Proper 15A/ Ordinary 20A",,"Epiphany 7C","Epiphany 7C","Proper 15A/ Ordinary 20A",49
,"Epiphany 7C",,,,"Epiphany 7C",50
"Genesis 50:15-21","Proper 19/ Ordinary 24A",,,"Proper 19/ Ordinary 24A",,51
"Exodus 1:8 - 2:10","Proper 16A/ Ordinary 21A",,,,"Proper 16A/ Ordinary 21A",52
"Exodus 3:1-15","Proper 17A/ Ordinary 22A",,"Trinity B",,"Proper 17A/ Ordinary 22A",53
,,,"Lent 3C",,,54
"Exodus 8:1-15",,"Lent 3C",,,,55
